District,Production(Tonnes),Mean Price(Rs./Quintal)
Kollegal_2012_1_January,20,965
Kottur_2012_1_January,1,861
Kunigal_2012_1_January,156,922
Madhugiri_2012_1_January,5,1050
Mysore (Bandipalya)_2012_1_January,79,881
Nagamangala_2012_1_January,801,951
Piriya Pattana_2012_1_January,223,869
Ramanagara_2012_1_January,2,1155
Shimoga_2012_1_January,1,1175
Sira_2012_1_January,11,1014
Tarikere_2012_1_January,53,933
Tumkur_2012_1_January,1061,1068
Arasikere_2012_8_August,375,1268
Bangalore_2012_8_August,817,1417
Belur_2012_8_August,29,933
Bhadravathi_2012_8_August,8,900
Channarayapatna_2012_8_August,21,1124
Chikkamagalore_2012_8_August,10,1208
Chintamani_2012_8_August,158,1192
Gowribidanoor_2012_8_August,30,1083
Gubbi_2012_8_August,36,1340
Harappana Halli_2012_8_August,113,1160
Hassan_2012_8_August,198,1203
Haveri_2012_8_August,2,904
Holalkere_2012_8_August,8,1000
Holenarsipura_2012_8_August,43,1050
Hosadurga_2012_8_August,121,1241
Huliyar_2012_8_August,7,1300
Hunsur_2012_8_August,12,1100
K.R. Pet_2012_8_August,10,1100
Kadur_2012_8_August,164,1281
Kanakapura_2012_8_August,3,1125
Kolar_2012_8_August,52,1200
Kunigal_2012_8_August,34,1075
Madhugiri_2012_8_August,10,1183
Mysore (Bandipalya)_2012_8_August,86,1252
Nagamangala_2012_8_August,532,1267
Piriya Pattana_2012_8_August,34,933
Ramanagara_2012_8_August,13,1188
Shimoga_2012_8_August,7,1438
Sira_2012_8_August,7,1099
Tarikere_2012_8_August,97,1125
Thirthahalli_2012_8_August,4,850
Tumkur_2012_8_August,13,1133
Arasikere_2013_1_January,300,1857
Bangalore_2013_1_January,658,2074
Belur_2013_1_January,73,2087
Bhadravathi_2013_1_January,10,1190
Chamaraj Nagar_2013_1_January,1,2000
Channarayapatna_2013_1_January,11,1900
Chickkaballapura_2013_1_January,3,1500
Chikkamagalore_2013_1_January,33,1800
Chintamani_2013_1_January,232,1400
Doddaballa Pur_2013_1_January,14,1550
Gubbi_2013_1_January,38,1892
Gundlupet_2013_1_January,6,1428
H.B. Halli_2013_1_January,7,1700
Harappana Halli_2013_1_January,74,1388
Hassan_2013_1_January,112,1653
Holenarsipura_2013_1_January,25,1680
Hosadurga_2013_1_January,39,1733
Hunsur_2013_1_January,23,1400
